Sprint_ID,Sprint_Number,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP5235,9,44.5,29.61,66.54,5.57,60.54,1.02,-0.88,0.64,Grace,50.05,60.49,52.17,7.47,1.76,117.13,0.56,ISS4002,Bug,Low,4.55,4.17,Add feature,8.01,30.1,40.45,0.53,3.0,0.19,Load testing,Regression fix,Performance,6.89,4.51,Eve,10.7
SP7981,13,46.72,41.79,89.45,6.65,27.79,0.43,2.09,0.66,Eve,43.98,51.27,42.76,6.39,1.29,106.12,0.46,ISS6157,Bug,Low,2.67,4.52,Performance fix,4.42,44.96,33.96,0.6,3.0,0.24,Database migration,Critical bug,Feature,1.0,11.71,Frank,19.64
SP8041,6,39.21,30.69,78.27,4.96,31.81,0.48,-2.0,0.59,Carol,47.84,59.96,28.39,3.24,3.57,104.91,0.64,ISS6163,Bug,High,1.0,5.04,Update UI,1.0,35.84,37.12,0.15,0.73,0.03,Develop feature,User request,Security,4.34,6.49,Alice,13.58
SP1749,1,75.61,61.13,80.85,4.18,43.82,2.56,-1.41,0.47,Henry,38.54,57.39,41.53,6.44,2.27,85.33,0.53,ISS3633,Task,Medium,1.0,8.88,Refactor code,4.91,38.15,43.25,0.29,1.09,0.11,API integration,Regression fix,Bug,17.31,7.85,Bob,9.73
SP1923,29,51.42,35.49,69.02,4.62,58.87,0.08,3.02,0.45,David,42.43,39.01,42.47,6.13,3.77,78.62,0.34,ISS7186,Task,Medium,4.63,4.02,Refactor code,9.27,38.64,35.02,0.08,1.05,0.1,Update UI,Critical bug,Performance,5.7,9.27,Frank,16.16
SP3323,28,40.22,36.0,89.51,4.9,80.0,0.97,-0.6,0.73,David,48.22,10.0,29.87,2.85,1.19,95.97,0.46,ISS2314,Task,Medium,1.57,2.73,Refactor code,2.33,34.55,37.1,0.61,0.02,0.05,Resolve blocker,Regression fix,Testing,7.95,7.02,David,15.74
SP9453,8,44.37,25.48,57.43,5.6,62.98,0.36,7.89,0.61,Carol,45.74,35.11,35.92,7.64,2.04,103.26,0.42,ISS3622,Task,High,4.28,4.28,Update UI,6.7,47.22,34.82,0.16,3.0,0.11,API integration,User request,Performance,2.38,2.06,David,9.87
SP5371,12,30.27,19.79,65.38,5.46,61.89,5.0,0.33,0.47,Grace,30.82,25.43,43.92,4.3,0.0,107.97,0.39,ISS4887,Bug,Low,1.53,6.83,Fix bug,4.27,23.89,33.03,0.16,0.31,0.07,Update UI,Critical bug,UI,4.04,2.32,Eve,20.65
SP8015,22,53.31,39.34,73.79,8.79,47.96,0.64,1.84,0.56,David,36.01,52.67,23.89,3.94,0.0,107.84,0.47,ISS7097,Task,Low,10.64,6.46,Add feature,12.5,55.37,40.99,0.52,2.39,0.2,Fix bug,New module,Security,1.0,4.06,Alice,11.85
SP9988,30,42.9,38.92,90.72,6.56,49.11,0.27,1.08,0.73,Eve,30.93,53.8,40.33,7.7,3.22,92.72,0.45,ISS4039,Bug,High,2.65,2.19,Add feature,3.68,48.64,38.41,2.8,3.0,0.26,Refactor module,Critical bug,Security,5.02,4.82,Frank,13.31
SP9531,18,61.83,34.63,56.01,3.08,20.0,0.21,13.51,0.27,David,35.9,60.04,37.52,8.04,2.6,83.25,0.4,ISS1496,Task,Low,1.0,3.22,Refactor code,3.59,52.3,49.5,0.03,0.29,0.0,Code cleanup,Critical bug,Backend,1.26,4.09,Grace,12.72
SP6149,32,27.18,20.92,76.97,9.17,52.06,2.28,4.28,0.54,Eve,33.82,41.32,34.08,7.51,3.11,101.98,0.47,ISS9118,Story,Low,7.34,5.03,Refactor code,9.32,30.8,39.04,0.7,0.35,0.13,Update UI,Critical bug,Refactor,11.73,4.84,Bob,13.86
SP4141,24,38.32,23.52,61.38,2.62,35.14,2.91,7.7,0.43,Grace,39.03,39.67,46.92,5.59,1.92,112.78,0.31,ISS1122,Story,High,1.0,3.66,Refactor code,4.63,34.82,34.84,0.02,1.75,0.05,Add unit tests,Critical bug,Testing,6.94,3.25,Eve,13.58
SP4444,33,36.52,24.49,67.06,6.93,35.86,0.16,1.92,0.61,David,28.45,44.48,41.63,3.56,0.87,85.7,0.39,ISS5834,Story,Medium,4.84,6.62,Refactor code,9.51,34.34,50.4,0.9,0.6,0.03,Update UI,Critical bug,DevOps,5.03,2.65,Frank,18.77
SP5743,11,43.31,30.68,70.84,3.09,61.57,0.63,-2.0,0.66,Carol,39.34,26.61,51.54,5.9,3.87,96.84,0.54,ISS3853,Bug,Medium,5.4,4.92,Write tests,7.17,44.64,48.26,1.51,0.31,0.07,Refactor module,New module,Bug,4.09,6.79,Frank,6.84
SP9859,16,61.48,49.42,80.38,1.58,30.75,0.0,4.38,0.52,Alice,38.79,48.02,51.83,5.87,2.46,115.8,0.49,ISS6103,Task,High,1.68,6.17,Update UI,5.59,41.26,29.73,3.0,1.14,0.08,Update UI,New module,Bug,1.73,4.31,Carol,9.69
SP6529,5,43.43,38.38,88.37,5.9,44.86,0.75,1.77,0.68,Bob,33.36,57.05,41.2,3.4,2.03,128.71,0.59,ISS4155,Task,Medium,7.99,6.52,Fix bug,8.32,33.53,43.34,0.77,0.43,0.03,Refactor module,User request,Backend,4.33,9.58,Bob,12.19
SP2132,40,41.38,34.53,83.45,1.14,25.04,1.56,11.06,0.51,Bob,47.29,53.36,40.85,7.11,2.08,104.44,0.54,ISS5107,Story,Low,1.71,4.11,Performance fix,3.61,56.94,36.83,0.13,2.51,0.2,Fix bug,Tech debt,Testing,4.65,7.39,Bob,10.98
SP8756,38,48.0,31.16,64.92,4.42,46.03,0.7,-1.71,0.57,Carol,33.66,40.87,36.83,7.66,3.96,122.37,0.57,ISS6981,Task,Medium,2.11,5.18,Performance fix,5.87,26.51,29.48,0.76,0.15,0.0,Code cleanup,Critical bug,Feature,4.62,7.22,Frank,14.23
SP3251,20,57.27,43.08,75.22,5.78,52.26,1.34,11.34,0.56,Eve,45.89,35.48,37.77,5.78,1.32,92.92,0.4,ISS3038,Task,Medium,1.0,3.94,Performance fix,3.88,34.43,50.94,0.98,0.35,0.08,Load testing,User request,Security,2.5,5.74,Frank,7.38
SP5113,14,29.94,18.04,60.25,7.18,55.05,1.68,1.33,0.5,Eve,37.93,61.49,36.62,7.99,0.0,105.23,0.5,ISS8853,Task,High,22.18,2.42,Fix bug,25.15,39.41,43.37,1.62,2.17,0.01,API integration,Tech debt,Performance,2.49,6.27,Eve,16.25
SP5810,30,68.68,48.2,70.18,4.47,49.89,2.09,0.85,0.52,Carol,41.76,42.99,45.64,4.84,1.72,115.82,0.55,ISS2338,Task,High,7.48,5.14,Update UI,9.17,24.66,43.87,0.62,0.93,0.01,Develop feature,Critical bug,DevOps,1.0,5.68,Bob,12.79
SP1897,16,30.32,16.64,54.88,4.32,41.44,1.24,3.9,0.45,Bob,32.85,57.75,51.38,5.8,3.21,105.37,0.6,ISS4017,Bug,High,2.63,5.07,Update UI,9.19,33.5,35.19,1.11,0.25,0.03,Develop feature,User request,Backend,2.71,7.44,Grace,9.48
SP9239,39,43.2,31.48,72.87,7.64,39.22,0.78,-2.0,0.54,Eve,28.46,30.58,46.78,3.69,1.54,81.25,0.17,ISS3220,Story,Medium,3.83,6.2,Fix bug,4.51,45.88,37.3,0.08,0.83,0.05,Resolve blocker,User request,Refactor,5.69,6.65,Carol,10.34
SP6835,16,20.0,8.12,40.6,4.35,69.72,2.95,2.31,0.4,Eve,39.72,48.0,42.29,4.87,2.7,101.07,0.4,ISS5725,Story,Medium,1.21,4.92,Performance fix,7.13,41.21,46.4,0.04,0.64,0.05,Add unit tests,Regression fix,Refactor,3.3,7.43,Frank,18.55
SP6970,2,42.48,39.83,93.76,3.93,44.7,0.26,4.77,0.59,Frank,42.43,40.54,29.27,9.23,1.86,93.04,0.44,ISS3699,Bug,Low,1.0,2.66,Fix bug,2.56,26.97,47.19,1.46,0.32,0.15,Load testing,Performance issue,Bug,11.51,5.09,Carol,18.42
SP7620,32,37.59,25.6,68.1,5.49,61.2,0.21,4.39,0.64,Frank,39.01,46.2,42.78,7.36,2.95,106.52,0.43,ISS9037,Task,High,30.0,5.31,Add feature,34.61,41.22,53.07,0.95,0.19,0.05,Update UI,User request,Bug,5.63,3.74,Alice,6.01
SP7330,33,61.57,53.0,86.08,5.51,42.04,1.61,9.39,0.67,Alice,44.41,54.39,48.22,8.43,3.16,97.71,0.39,ISS5661,Task,High,1.0,7.83,Fix bug,5.23,38.03,46.73,0.74,3.0,0.19,Load testing,New module,Security,1.03,7.92,Grace,9.82
