Sprint_ID,Sprint_Number,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP7777,39,37.51,14.3,38.12,4.02,74.09,2.53,0.93,0.55,Carol,35.62,42.29,48.29,10.09,2.07,152.09,0.45,ISS1854,Story,High,5.61,1.26,Refactor code,1.91,25.8,33.73,1.02,2.44,0.17,Refactor module,Regression fix,Performance,10.91,9.82,Henry,24.09
SP9427,29,76.74,46.48,60.57,5.0,35.86,3.89,4.28,0.27,David,63.77,63.39,25.2,5.38,4.46,142.31,0.56,ISS3728,Task,High,1.0,6.43,Update UI,2.86,33.15,25.09,2.82,3.11,0.32,Load testing,Tech debt,Performance,13.51,6.47,Bob,21.32
SP5211,15,56.51,46.61,82.48,-0.97,40.46,0.91,3.89,0.55,Alice,20.27,71.56,39.86,6.13,1.73,170.6,0.55,ISS1915,Story,Medium,6.5,6.33,Fix bug,11.36,50.55,25.44,2.01,1.93,0.48,Fix bug,New module,Bug,10.61,6.16,Henry,17.19
SP1225,8,39.54,12.47,31.54,4.33,49.92,1.32,4.35,0.39,David,63.54,62.97,46.8,1.7,2.73,131.69,0.41,ISS8173,Story,Low,10.17,4.18,Fix bug,12.9,28.93,41.12,2.05,0.67,0.16,Update UI,Critical bug,Refactor,1.0,3.86,Alice,11.87
SP9183,21,76.02,58.81,77.36,5.83,54.18,2.45,4.98,0.41,Bob,39.85,24.32,43.81,1.68,0.49,115.69,0.27,ISS5938,Story,Low,12.56,9.16,Performance fix,17.61,38.67,42.72,2.59,1.49,0.03,Resolve blocker,Performance issue,Security,15.53,12.83,Grace,16.82
SP5277,39,57.78,44.55,77.1,1.58,71.58,6.18,-1.78,0.38,Frank,47.61,48.07,44.93,4.77,4.07,138.78,0.48,ISS1131,Bug,Medium,4.13,3.09,Performance fix,9.86,48.88,26.29,1.57,2.11,0.47,Improve performance,Tech debt,Bug,1.0,10.89,Frank,14.07
SP2341,19,39.6,22.62,57.12,8.24,40.51,2.95,0.59,0.46,Alice,54.54,45.42,36.3,3.34,2.94,153.02,0.58,ISS4593,Story,Low,2.64,7.78,Refactor code,8.62,37.04,31.37,2.13,4.97,0.3,API integration,Performance issue,Performance,3.9,4.12,Grace,15.89
SP5036,23,48.03,22.15,46.12,1.59,55.71,1.37,0.96,0.23,Eve,51.03,64.26,32.0,3.39,3.46,112.14,0.57,ISS1293,Task,High,2.52,1.31,Write tests,1.51,32.18,37.3,0.84,1.7,0.16,Add unit tests,Critical bug,Testing,7.09,10.47,Carol,19.74
SP9401,11,32.93,13.13,39.87,4.78,40.59,5.75,2.04,0.39,Frank,45.26,26.76,45.57,3.53,2.75,136.43,0.49,ISS4685,Task,Low,1.0,2.36,Write tests,4.14,32.26,37.36,1.16,7.49,0.41,Resolve blocker,Regression fix,DevOps,1.0,1.0,David,21.85
SP4727,11,32.93,11.89,36.11,4.53,74.11,1.53,4.23,0.39,Henry,41.36,83.27,43.86,8.67,2.87,121.35,0.45,ISS9016,Task,Low,1.77,4.52,Write tests,4.61,56.22,38.35,0.4,1.16,0.26,Fix bug,Critical bug,DevOps,9.83,10.91,Eve,10.54
SP4928,24,68.13,38.57,56.61,1.38,56.41,1.89,1.72,0.41,Eve,39.9,64.44,45.83,6.02,4.89,134.5,0.48,ISS8762,Bug,High,1.37,9.66,Add feature,11.84,39.85,35.96,2.16,1.36,0.16,Database migration,Tech debt,Performance,2.12,6.91,Henry,15.56
SP3803,36,36.52,16.75,45.87,3.53,69.34,2.01,18.34,0.43,Alice,26.18,59.72,26.85,7.2,1.81,142.05,0.51,ISS7846,Task,High,6.0,2.36,Refactor code,9.56,36.07,27.86,4.78,3.68,0.44,Resolve blocker,New module,Backend,2.85,1.0,Eve,11.53
SP7558,40,29.94,1.23,4.11,4.17,32.71,6.07,10.91,0.07,Grace,54.87,42.82,28.89,9.01,3.41,167.84,0.5,ISS8584,Story,High,1.11,6.01,Write tests,9.49,23.0,40.2,3.56,3.76,0.33,Refactor module,Critical bug,Backend,3.4,7.85,David,14.14
SP1393,24,59.54,35.75,60.04,4.29,41.58,2.52,0.65,0.36,Frank,53.81,38.77,34.41,3.69,1.8,135.93,0.44,ISS8310,Bug,Medium,7.21,5.1,Write tests,16.6,63.41,40.31,0.8,3.01,0.44,Code cleanup,Critical bug,UI,9.48,8.22,Alice,17.19
SP7839,3,74.9,36.63,48.91,-0.63,53.73,6.78,8.54,0.17,Carol,35.27,66.6,36.63,8.04,2.44,154.1,0.58,ISS6356,Task,High,6.34,7.02,Update UI,11.85,36.45,28.32,1.01,2.19,0.08,Add unit tests,Critical bug,UI,10.02,6.53,Grace,19.05
SP9795,22,67.36,32.23,47.85,5.05,69.58,1.39,11.31,0.34,Alice,42.66,43.1,43.45,1.95,0.09,155.53,0.38,ISS1286,Bug,Medium,3.89,2.34,Performance fix,5.96,50.91,43.19,0.61,1.93,0.14,API integration,Performance issue,DevOps,3.99,9.6,Frank,12.23
